doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
01-faculty-borrowing,data/university/01-faculty-borrowing.md,Quyền mượn tài liệu của giảng viên VinUni,https://policy.vinuni.edu.vn/wp-content/uploads/2025/07/POL-LLR-001-V4.0_Library-Access-Services-Policy_9.7.2025_Clean.pdf,2026-09-19,POL-LLR-001-V4.0 (2025-07-09),public-source
02-undergraduate-borrowing,data/university/02-undergraduate-borrowing.md,Quyền mượn tài liệu của sinh viên đại học VinUni,https://policy.vinuni.edu.vn/wp-content/uploads/2025/07/POL-LLR-001-V4.0_Library-Access-Services-Policy_9.7.2025_Clean.pdf,2026-09-19,POL-LLR-001-V4.0 (2025-07-09),public-source
03-material-types-and-renewal,data/university/03-material-types-and-renewal.md,"Loại tài liệu, địa điểm mượn và quy tắc gia hạn",https://policy.vinuni.edu.vn/wp-content/uploads/2025/07/POL-LLR-001-V4.0_Library-Access-Services-Policy_9.7.2025_Clean.pdf,2026-09-19,POL-LLR-001-V4.0 (2025-07-09),public-source
04-requesting-items,data/university/04-requesting-items.md,Yêu cầu tài liệu đang được mượn,https://policy.vinuni.edu.vn/wp-content/uploads/2025/07/POL-LLR-001-V4.0_Library-Access-Services-Policy_9.7.2025_Clean.pdf,2026-09-19,POL-LLR-001-V4.0 (2025-07-09),public-source
05-electronic-resources,data/university/05-electronic-resources.md,"Sử dụng tài nguyên điện tử, sao chép và in ấn",https://policy.vinuni.edu.vn/wp-content/uploads/2025/07/POL-LLR-001-V4.0_Library-Access-Services-Policy_9.7.2025_Clean.pdf,2026-09-19,POL-LLR-001-V4.0 (2025-07-09),public-source
06-rooms-and-equipment,data/university/06-rooms-and-equipment.md,Mượn thiết bị và đặt phòng chức năng thư viện,https://policy.vinuni.edu.vn/wp-content/uploads/2025/07/POL-LLR-001-V4.0_Library-Access-Services-Policy_9.7.2025_Clean.pdf,2026-09-19,POL-LLR-001-V4.0 (2025-07-09),public-source
07-student-self-service,data/university/07-student-self-service.md,Sinh viên mượn và trả sách bằng máy tự phục vụ,https://vinuni.edu.vn/wp-content/uploads/2025/04/INTERNATIONAL-STUDENT-HANDBOOK.pdf,2026-09-19,not-stated,public-source
